Date,Subways: Total Estimated Ridership,Subways: % of Comparable Pre-Pandemic Day,Buses: Total Estimated Ridership,Buses: % of Comparable Pre-Pandemic Day,LIRR: Total Estimated Ridership,LIRR: % of Comparable Pre-Pandemic Day,Metro-North: Total Estimated Ridership,Metro-North: % of Comparable Pre-Pandemic Day,Access-A-Ride: Total Scheduled Trips,Access-A-Ride: % of Comparable Pre-Pandemic Day,Bridges and Tunnels: Total Traffic,Bridges and Tunnels: % of Comparable Pre-Pandemic Day,Staten Island Railway: Total Estimated Ridership,Staten Island Railway: % of Comparable Pre-Pandemic Day
01/01/2022,1027918,0.38,350845,0.29,33980,0.35,30341,0.23,4904,0.34,498515,0.65,1262,0.31
01/02/2022,1219735,0.58,475096,0.52,49155,0.59,42587,0.47,8383,0.62,624655,0.92,1571,0.57
01/03/2022,2168229,0.42,1000002,0.49,102961,0.34,83990,0.31,16437,0.58,692740,0.8,4515,0.28
01/04/2022,2289352,0.45,1082360,0.53,104247,0.34,81978,0.3,17909,0.63,733369,0.84,4795,0.29
01/05/2022,2267942,0.44,1078511,0.53,98251,0.33,77579,0.29,18861,0.67,709060,0.82,4659,0.28
01/06/2022,2391176,0.46,1146904,0.56,103562,0.34,82567,0.31,18672,0.66,780026,0.9,4909,0.3
01/07/2022,2121941,0.41,880997,0.43,90207,0.3,73067,0.27,14203,0.5,559774,0.64,3628,0.22
01/08/2022,1486065,0.55,631341,0.53,51707,0.53,46428,0.36,9126,0.63,641533,0.84,1672,0.41
01/09/2022,1102472,0.53,475438,0.52,43383,0.52,35309,0.39,7916,0.59,567494,0.83,1210,0.44
01/10/2022,2347323,0.46,1147341,0.56,116463,0.39,90220,0.34,18268,0.65,762712,0.88,4954,0.3
01/11/2022,2266378,0.44,1040581,0.51,104378,0.35,81438,0.3,17388,0.61,753381,0.87,4655,0.28
01/12/2022,2459224,0.48,1179931,0.58,111022,0.37,86050,0.32,19679,0.7,784901,0.9,5024,0.31
01/13/2022,2524197,0.49,1218552,0.6,112519,0.37,87672,0.33,19918,0.7,821641,0.95,5132,0.31
01/14/2022,2522972,0.49,1186647,0.58,109199,0.36,88634,0.33,18878,0.67,866901,1,4774,0.29
01/15/2022,1434676,0.53,573037,0.48,53410,0.55,45309,0.35,9510,0.66,703293,0.92,1449,0.35
01/16/2022,1165626,0.56,456257,0.5,43578,0.53,38025,0.42,8545,0.63,621361,0.91,1140,0.42
01/17/2022,1600048,0.77,694066,0.76,98738,1.19,44075,0.49,8760,0.65,649397,0.95,2190,0.8
01/18/2022,2541044,0.49,1222195,0.6,125615,0.42,100364,0.37,19389,0.69,815605,0.94,5381,0.33
01/19/2022,2642129,0.51,1286788,0.63,121249,0.4,96281,0.36,21111,0.75,829778,0.95,5598,0.34
01/20/2022,2545486,0.49,1181953,0.58,112595,0.37,88196,0.33,18616,0.66,766608,0.88,5031,0.31
01/21/2022,2565781,0.5,1151816,0.56,113474,0.38,91079,0.34,19079,0.67,864079,0.99,4748,0.29
01/22/2022,1583650,0.58,655490,0.55,59412,0.61,53737,0.41,10455,0.72,735629,0.96,1642,0.4
01/23/2022,1245716,0.6,529115,0.58,48672,0.59,43647,0.48,9446,0.7,685007,1,1245,0.45
01/24/2022,2536827,0.49,1244112,0.61,127750,0.42,100520,0.37,19472,0.69,791390,0.91,5188,0.32
01/25/2022,2701246,0.53,1308979,0.64,124499,0.41,98859,0.37,21233,0.75,817021,0.94,5625,0.34
01/26/2022,2711803,0.53,1266798,0.62,118625,0.39,96253,0.36,21033,0.74,833936,0.96,5197,0.32
01/27/2022,2724979,0.53,1275573,0.62,119039,0.39,95748,0.36,20934,0.74,869615,1,5271,0.32
01/28/2022,2703403,0.53,1208092,0.59,120912,0.4,96409,0.36,20115,0.71,866261,1,4994,0.3
01/29/2022,999347,0.37,271959,0.23,8142,0.08,22016,0.17,5353,0.37,174348,0.23,852,0.21
01/30/2022,1262477,0.6,460299,0.5,47852,0.58,45002,0.5,5974,0.44,506466,0.74,1233,0.45
01/31/2022,2575762,0.5,1139164,0.56,132248,0.44,109718,0.41,18400,0.65,777628,0.89,4968,0.3
02/01/2022,2635083,0.49,1127084,0.52,135255,0.45,111424,0.41,20357,0.69,804390,0.91,4993,0.31
02/02/2022,2940152,0.54,1314898,0.61,140059,0.46,110996,0.41,22427,0.76,846701,0.96,5830,0.36
02/03/2022,2914198,0.54,1304726,0.61,126901,0.42,104093,0.39,22325,0.76,853193,0.97,5750,0.36
02/04/2022,2725725,0.5,1176367,0.55,117899,0.39,94290,0.35,18557,0.63,781068,0.88,5072,0.31
